,YEAR,STATE,EVENT_TYPE,TOTAL DEATHS,TOTAL INJURIES,TOTAL DAMAGES,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_CZ_STATE,BEGIN_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_ID,EVENT_ID
196,2022,TEXAS,Thunderstorm Wind,0,2,110000.0,NWS Storm Survey,56.0,EG,,,,,LINDSAY GARDENS,26.3707,-98.327,26.3614,-98.3218,168034,1017056
197,2022,PUERTO RICO,Rip Current,1,3,0.0,Broadcast Media,,,,,,,,,,,,175847,1067576
198,2022,PUERTO RICO,Rip Current,1,1,0.0,Newspaper,,,,,,,,,,,,175848,1067577
199,2022,ILLINOIS,Lightning,0,1,0.0,Emergency Manager,,,,,,,DALZELL,41.36,-89.17,41.36,-89.17,168735,1021851
200,2022,TEXAS,Tornado,0,9,0.0,NWS Storm Survey,,,EF3,33.97,880.0,TX,BARTONS CHAPEL,33.0446,-98.3298,33.434,-97.976,167427,1013705
201,2022,MISSOURI,Flash Flood,1,0,10000.0,Law Enforcement,,,,,,,SOUTH GREENFIELD,37.38,-93.82,37.3786,-93.8155,169617,1027939
202,2022,FLORIDA,Lightning,0,1,0.0,Emergency Manager,,,,,,,HILDEN,30.05,-81.41,30.05,-81.41,172143,1045042
203,2022,ARIZONA,Flash Flood,1,0,50000.0,Emergency Manager,,,,,,,SANTA CLAUS,35.3003,-114.3621,35.3167,-114.2234,172913,1050250
204,2022,ARIZONA,Flash Flood,1,0,20000.0,Newspaper,,,,,,,KINGMAN ARPT,35.1898,-113.7363,35.1894,-113.7365,175410,1063834
205,2022,SOUTH CAROLINA,Thunderstorm Wind,1,0,100000.0,Broadcast Media,50.0,EG,,,,,GAFFNEY,35.063,-81.632,35.147,-81.573,170025,1030317
206,2022,MISSISSIPPI,Thunderstorm Wind,0,2,50000.0,Broadcast Media,60.0,EG,,,,,CORINTH,34.9379,-88.5415,34.9404,-88.4865,167613,1017710
207,2022,WISCONSIN,Winter Weather,1,0,0.0,Trained Spotter,,,,,,,,,,,,166144,1004478
208,2022,TEXAS,Wildfire,1,0,0.0,Park/Forest Service,,,,,,,,,,,,167490,1015542
209,2022,FLORIDA,Rip Current,1,0,0.0,Law Enforcement,,,,,,,,,,,,177073,1075999
210,2022,NEBRASKA,Wildfire,1,5,0.0,Other Federal Agency,,,,,,,,,,,,168532,1023013
211,2022,ARIZONA,Heat,1,0,0.0,County Official,,,,,,,,,,,,173952,1055028
212,2022,ARIZONA,Heat,1,0,0.0,County Official,,,,,,,,,,,,171352,1040250
213,2022,ARIZONA,Heat,2,0,0.0,County Official,,,,,,,,,,,,185959,1141401
